Công ty con,Hoạt động chính,% quyền biểu quyết,% quyền biểu quyết,% lợi ích kinh tế,% lợi ích kinh tế
Công ty con,Hoạt động chính,31/12/2021,1/1/2021,31/12/2021,1/1/2021
Công ty TNIII Nười trồng Thủy sản Minh Phú – Lộc An (i),"Nuôi trồng thủy sản; sản xuất và kinh doanh thực phẩm thủy sản, kinh doanh máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","100,00%","100,00%","100,00%","100,00%"
Công ty TNIII Sản xuất Chế phẩm Sinh học Minh Phú (i) (iii),Sản xuất các sản phẩm sinh học và phân bón phục vụ ngành nông nghiệp.,"92,27%","92,27%","92,27%","92,27%"
Công ty TNIII MTV Chuỗi cung ứng Thủy sản Minh Phú,Nuôi trồng sản phẩm thủy sản; chế biến sản phẩm thủy sản; sản xuất thức ăn nuôi trồng thủy sản; kinh doanh máy móc và thiết bị cho nuôi trồng thủy sản.,"100,00%","100,00%","100,00%","100,00%"
Công ty TNHH Kho vận Ebisumo,Kinh doanh các sản phẩm thủy sản.,"100,00%","100,00%","100,00%","100,00%"
Công ty TNHH Thực phẩm xanh Minh Phú (i),Kinh doanh các sản phẩm nông lâm nghiệp.,"100,00%","100,00%","100,00%","100,00%"
Công ty TNHH Nông nghiệp Công nghệ cao Minh Phú (i),"Chế biến, bảo quản thủy sản và các sản phẩm từ thủy sản.","100,00%","60,00%","100,00%","60,00%"
Công ty TNHH Xuất khẩu Thủy sản Minh Phú,Kinh doanh các sản phẩm thủy sản.,"100,00%","100,00%","100,00%","100,00%"
Công ty Cổ phần Công nghệ Otanics (i),Nghiên cứu khoa học và phát triển công nghệ.,"51,00%","51,00%","51,00%","51,00%"
Công ty TNHH Thức ăn Tôm xanh Minh Phú (trước dây là “Công ty TNHH Cảng Minh Phú Hậu Giang”) (iii),"Xây dựng cảng vận tải, cảng dầu khí; kinh doanh dầu khí, kinh doanh các loại máy móc và thiết bị cho sản xuất.","99,09%","98,20%","99,09%","98,20%"
