,,Vay ngắn hạn,Vay dài hạn,VND Tổng công
Số đầu năm,Số đầu năm,131.290.187.188,362.913.767.131,494.203.954.319
Vay trong năm,Vay trong năm,50.559.400.000,-,50.559.400.000
Trả gốc vay,Trả gốc vay,(37.465.207.188),(60.000.000),(37.525.207.188)
Phân loại lại,Phân loại lại,362.853.767.131,(362.853.767.131),-
Số cuối năm,Số cuối năm,507.238.147.131,-,507.238.147.131
Chi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:
Ngân hàng,Số cuối năm VND,Kỳ hạn trả gốc và lãi,Lãi suất%/năm,Hình thức đảm bảo
"Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (“Đông Á, CN Bình Dương”)","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (“Đông Á, CN Bình Dương”)","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (“Đông Á, CN Bình Dương”)","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (“Đông Á, CN Bình Dương”)","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (“Đông Á, CN Bình Dương”)"
Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015,123.283.700.000,Từ ngày 27 tháng 7 năm 2016 đến ngày 23 tháng 9 năm 2016,"8,5",\( 12.859 \text{ m}^{3} \text{ gỗ nguyên liệu các loại và thành phẩm của Nhóm Công ty} \)
"Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương"
Hợp đồng số 5500_LAV-202000152 ngày 26 tháng 2 năm 2020,19.956.000.000,Từ ngày 27 tháng 8 năm 2020 đến ngày 26 tháng 2 năm 2021,8,Máy móc thiết bị của Công ty TNHH MTV Sử Thiên Thanh
"Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)"
Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010,1.114.680.000,Từ ngày 2 tháng 11 năm 2011 đến ngày 25 tháng 11 năm 2011,11,"Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành, công ty con của Nhóm Công ty"
"Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam, Chi nhánh Thành phố Buôn Ma Thuột (“Agribank, CN BMT”)","Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam, Chi nhánh Thành phố Buôn Ma Thuột (“Agribank, CN BMT”)","Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam, Chi nhánh Thành phố Buôn Ma Thuột (“Agribank, CN BMT”)","Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam, Chi nhánh Thành phố Buôn Ma Thuột (“Agribank, CN BMT”)","Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam, Chi nhánh Thành phố Buôn Ma Thuột (“Agribank, CN BMT”)"
Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011,30.000.000,Từ ngày 17 tháng 7 năm 2016 đến ngày 31 tháng 12 năm 2016,"9,6","Gỗ nguyên liệu các loại của Công ty Cổ phần Trường Thành, công ty con của Nhóm Công ty"
TỔNG CỘNG,144.384.380.000,,,
