Công ty con,Hoạt động chính,% lợi ích kinh tế,% lợi ích kinh tế
Công ty con,Hoạt động chính,31/12/2020,1/1/2020
Công ty TNHH Chế biến Thủy sản Minh Phú (i),"Chế biến và kinh doanh các sản phẩm thủy sản, nhập khẩu nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","97,50%","97,50%"
Công ty TNHH Chế biến Thủy sản Minh Phát,"Chế biến và kinh doanh các sản phẩm thủy sản, nhập khẩu nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","95,00%","95,00%"
Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang (i),"Nuôi trồng thủy sản; chế biến, bảo quản các sản phẩm thủy sản; sản xuất giống thủy sản; kinh doanh máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","99,83%","99,83%"
Công ty TNHH Sản xuất giống thủy sản Minh Phú (i),"Sản xuất, cung cấp và kinh doanh giống thủy sản; chế biến, bảo quản các sản phẩm thủy sản; kinh doanh thực phẩm và nguyên vật liệu phục vụ ngành chăn nuôi gia súc, gia cảm và nuôi trồng thủy sản.","99,674%","99,674%"
Công ty TNHH Nuôi trồng Thủy sản Minh Phú – Lộc An (i),"Nuôi trồng thủy sản; sản xuất và kinh doanh thực phẩm thủy sản, kinh doanh máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","100,00%","100,00%"
Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (i) (iii),Sản xuất các sản phẩm sinh học và phân bón phục vụ ngành nông nghiệp.,"92,27%","92,27%"
Công ty TNHH MTV Chuỗi cung ứng Thủy sản Minh Phú,Nuôi trồng sản phẩm thủy sản; chế biến sản phẩm thủy sản; sản xuất thức ăn nuôi trồng thủy sản; kinh doanh máy móc và thiết bị cho nuôi trồng thủy sản.,"100,00%","100,00%"
Công ty TNHH Kho vận Ebisumo,Kinh doanh các sản phẩm thủy sản.,"100,00%","100,00%"
Công ty TNHH Thực phẩm xanh Minh Phú (trước đây là “Công ty TNHH Thực phẩm Minh Phú”) (i),Kinh doanh các sản phẩm nông lâm nghiệp.,"100,00%","100,00%"
Công ty TNHH Nông nghiệp Công nghệ cao Minh Phú (trước đây là “Công ty Cổ phần Nông nghiệp Công nghệ cao Minh Phú”) (ii),"Chế biến, bảo quản thủy sản và các sản phẩm từ thủy sản.",60.00%,60.00%
Công ty TNHH Xuất khẩu Thủy sản Minh Phú (i),Kinh doanh các sản phẩm thủy sản.,"100,00%","100,00%"
