,,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)
Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn,Cấu trúc Tập đoàn
"Tại ngày 31 tháng 12 năm 2022, Công ty có 16 công ty con (1/1/2022: 16 công ty con) chi tiết như sau:","Tại ngày 31 tháng 12 năm 2022, Công ty có 16 công ty con (1/1/2022: 16 công ty con) chi tiết như sau:","Tại ngày 31 tháng 12 năm 2022, Công ty có 16 công ty con (1/1/2022: 16 công ty con) chi tiết như sau:","Tại ngày 31 tháng 12 năm 2022, Công ty có 16 công ty con (1/1/2022: 16 công ty con) chi tiết như sau:","Tại ngày 31 tháng 12 năm 2022, Công ty có 16 công ty con (1/1/2022: 16 công ty con) chi tiết như sau:","Tại ngày 31 tháng 12 năm 2022, Công ty có 16 công ty con (1/1/2022: 16 công ty con) chi tiết như sau:"
Công ty con,Hoạt động chính,% quyền biểu quyết,% quyền biểu quyết,% lợi ích kinh tế,% lợi ích kinh tế
Công ty con,Hoạt động chính,31/12/2022,1/1/2022,31/12/2022,1/1/2022
Mseafood Corporation,Kinh doanh các sản phẩm thủy sản.,"90,00%","90,00%","90,00%","90,00%"
Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,"Chế biến và kinh doanh bột cá, các sản phẩm thủy sản, đầu cá sinh học; kinh doanh hàng hóa, nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản; đầu tư và kinh doanh cơ sở hạ tầng; xây dựng các công trình công nghiệp và dân dụng.","98,27%","98,27%","98,27%","98,27%"
Công ty TNHH Chế biến Thủy sản Minh Quí (i),"Chế biến và kinh doanh các sản phẩm thủy sản, nhập khẩu nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","97,50%","97,50%","97,50%","97,50%"
Công ty TNHH Chế biến Thủy sản Minh Phát (i),"Chế biến và kinh doanh các sản phẩm thủy sản, nhập khẩu nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","99,17%","99,17%","99,17%","99,17%"
Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang (i),"Nuôi trồng thủy sản; chế biến, bảo quản các sản phẩm thủy sản; sản xuất giống thủy sản; kinh doanh máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","99,89%","99,89%","99,89%","99,89%"
Công ty TNHH Sản xuất giống thủy sản Minh Phú (i),"Sản xuất, cung cấp và kinh doanh giống thủy sản; chế biến, bảo quản các sản phẩm thủy sản; kinh doanh thực phẩm và nguyên vật liệu phục vụ ngành chăn nuôi gia súc, gia cầm và nuôi trồng thủy sản.","99,78%","99,78%","99,78%","99,78%"
