,Bán nông sản,Bán heo,Bán cám,Khác,Loại trừ,VNDHợp nhất
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022
Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận
Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,5.706.446.759.764,2.047.076.038.093,308.237.919.375,5.116.363.635,(983.458.731.609),7.083.418.349.258
Doanh thu từ bán hàng và cung cấp dịch vụ cho các bộ phận,-,(674.376.135.865),(305.128.050.289),(3.954.545.455),983.458.731.609,-
Tổng doanh thu thuần,5.706.446.759.764,1.372.699.902.228,3.109.869.086,1.161.818.180,-,7.083.418.349.258
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả
Lợi nhuận gộp,152.391.513.930,376.314.044.825,(4.196.089.916),898.744.148,-,525.408.212.9878.337.144.783(31.212.497.153)831.315.671(72.229.870.717)(87.624.647.284)1.007.084.613(5.638.958.195)(56.593.281.979)5.494.235.722287.778.738.448
Doanh thu hoạt động tài chính,,,,,,
Chi phí tài chính,,,,,,
Phần lỗ trong công ty liên kết,,,,,,
Chi phí bán hàng,,,,,,
Chi phí quản lý doanh nghiệp,,,,,,
Thu nhập khác,,,,,,
Chi phí khác,,,,,,
Chi phí thuế TNDN hiện hành,,,,,,
Thu nhập thuế TNDN hoãn lại,,,,,,
Lợi nhuận sau thuế TNDN,,,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả
Tổng tài sản,1.314.503.051.356,4.084.787.291.894,1.352.699.116.135,14.649.842.650,(2.037.543.209.119),4.729.096.092.916
Tài sản bộ phận,1.314.503.051.356,4.084.787.291.894,1.352.699.116.135,14.649.842.650,(2.318.423.657.357),4.448.215.644.678
Tài sản không phân bổ (*),-,-,-,-,280.880.448.238,280.880.448.238
Tổng nợ phải trả,1.900.648.324.532,1.279.014.582.153,880.546.555.921,-,(1.073.781.429.604),2.986.428.033.002
Nợ phải trả bộ phận,1.900.648.324.532,1.279.014.582.153,880.546.555.921,-,(1.073.781.429.604),2.986.428.033.002
