,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư BOT Hà Nội = Bắc Giang,Công ty Cổ phần in và Vận hóa phẩm,Công ty TNHH BT Hà Đông,Công ty Cổ phần Đầu tư Phong Phù,Công ty Cổ phần Đầu tư Hà Phú Riverland (i),Công ty TNHH Đầu tư Phát triển Đố thị Cần Thơ,Công ty TNHH An Biên Golf and Resort,Công ty Cổ phần Logistics LSH (ii),Công ty TNHH Phát triển Đố thị HNB (iii),Tổng cộng
Giá trị đầu tư: Số đầu năm - Gộp vốn/mua mới trong năm,278.006.400.000,163.786.400.000,33.777.503.175,56.546.786.097,187.500.000.000,75.000.000.000,367.500.000.000,202.370.000.000,-,-,1.364.487.089.272
Giá trị đầu tư: Số đầu năm - Gộp vốn/mua mới trong năm,-,-,-,1.847.571.000,-,15.000.000.000,-,-,244.800.000.000,10.000.000.000,271.647.571.000
Số cuối năm,278.006.400.000,163.786.400.000,33.777.503.175,58.394.357.097,187.500.000.000,90.000.000.000,367.500.000.000,202.370.000.000,244.800.000.000,10.000.000.000,1.636.134.660.272
"Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khí mua công ty liên doanh, liên kết:"
"Số đầu năm - Phân lãi/lỗ) từ công ty liên doanh, liên kết",(497.608.699),70.649.775.953,(5.148.422.825),-,(1.786.742.365),(520.674.061),11.720.221.672,284.571.983,-,-,74.701.121.658
"Số đầu năm - Phân lãi/lỗ) từ công ty liên doanh, liên kết",1.249.016.591,29.595.170.929,1.921.037.093,-,(1.119.459.849),(525.775.839),242.639.744,291.921.623,60.395.921,32.562.625,31.747.508.638
Số cuối năm,751.407.892,100.244.946.882,(3.227.385.732),-,(2.906.202.214),(1.046.449.900),11.962.861.416,576.493.606,60.395.921,32.562.625,106.448.630.496
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại
Số đầu năm,277.508.791.301,234.436.175.953,28.629.080.350,56.546.786.097,185.713.257.635,74.479.325.939,379.220.221.672,202.654.571.983,-,-,1.439.188.210.930
Số cuối năm,278.757.807.892,264.031.346.882,30.550.117.443,58.394.357.097,194.593.797.796,88.953.550.100,379.462.861.416,202.946.493.606,244.860.395.921,10.032.562.625,1.742.583.290.768
