CHỈ TIÊU,Mã số,Thuyết minh,Năm 2024,Năm 2023
1. Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,800.166.459.850,371.274.768.051
2. Các khoản giảm trừ doanh thu,02,VI.2,1.049.691.125,72.740.956
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,VI.3,799.116.768.725,371.202.027.095
4. Giá vốn hàng bán,11,VI.4,848.470.332.493,264.014.902.499
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 -11),20,,(49.353.563.768),107.187.124.596
6. Doanh thu hoạt động tài chính,21,VI.5,477.829.554.381,343.760.651.188
7. Chi phí tài chính,22,VI.6,311.900.965.337,305.098.363.117
Trong đó: Chi phí lãi vay,23,,303.551.771.148,304.520.436.107
"8. Phần lãi (/hoặc lỗ) trong công ty liên doanh, liên kết",24,,(10.326.940.056),(976.609.297)
9. Chi phí bán hàng,25,VI.7a,18.754.748.514,22.205.897.090
10. Chi phí quản lý doanh nghiệp,26,VI.7b,57.517.780.792,108.687.019.153
11. Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + (21 - 22) + 24 - (25 + 26)),30,,29.975.555.914,13.979.887.127
12. Thu nhập khác,31,VI.8,16.742.086.938,26.917.082.469
13. Chi phí khác,32,VI.9,13.060.493.612,24.535.220.903
14. Lợi nhuận khác (40 = 31 - 32),40,,3.681.593.326,2.381.861.566
15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),50,,33.657.149.240,16.361.748.693
16. Chi phí thuế TNDN hiện hành,51,VI.10,25.867.195.300,10.434.456.140
17. Chi phí thuế TNDN hoãn lại,52,VI.11,3.542.071.672,(9.495.087.773)
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 -52),60,,4.247.882.268,15.422.380.326
Cổ đông của Công ty mẹ,61,,2.936.733.122,8.718.697.546
Cổ đông không kiểm soát,62,,1.311.149.146,6.703.682.780
19. Lãi cơ bản trên cổ phiếu,70,VI.12,7,22
20. Lãi suy giảm trên cổ phiếu,71,VI.13,7,22
