Tên,Hoạt động chính,"Nơi thành lập,đăng ký hoạt động",Tai ngày 30.9.2024,Tai ngày 30.9.2024,Tai ngày 30.9.2023,Tai ngày 30.9.2023
Tên,Hoạt động chính,"Nơi thành lập,đăng ký hoạt động",Tỷ lệsở hữu%,Tỷ lệ quyềnbiểu quyết%,Tỷ lệsở hữu%,Tỷ lệ quyềnbiểu quyết%
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An,Sản xuất và kinh doanh tắm lợp bằng kim loại và các sản phẩm ống thép.,Tỉnh Nghệ An,100,100,100,100
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định,Sản xuất và kinh doanh các sản phẩm tắm lợp kim loại.,Tỉnh Bình Định,100,100,100,100
Công ty TNHH Một thành viên Tôn Hoa Sen,Sản xuất và kinh doanh các sản phẩm thép cán nguội.,Tỉnh Bình Dương,100,100,100,100
Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,Sản xuất và kinh doanh các sản phẩm ống thép.,Tỉnh Bà Rịa - Vũng Tàu,100,100,100,100
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Sản xuất và kinh doanh các sản phẩm ống thép.,Tỉnh Hà Nam,100,100,100,100
Công ty Cổ phần Nhưa Hoa Sen,Sản xuất và kinh doanh vật liệu xây dựng bằng nhựa.,Tỉnh Bà Rịa - Vũng Tàu,"99,95","99,95","99,95","99,95"
Công ty TNHH Một thành viên Hoa Sen Bình Định,Sản xuất và kinh doanh các sản phẩm ống thép.,Tỉnh Bình Định,100,100,100,100
Công ty Cổ phần Hoa Sen Yên Bái (i),"Kinh doanh khách sạn, dịch vụ ăn uống và khu trung tâm thương mại.",Tỉnh Yên Bái,"97,26","97,26","95,96","95,96"
Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Sản xuất và kinh doanh các sản phẩm ống thép.,Tỉnh Yên Bái,100,100,100,100
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết
Công ty Cổ phần Cảng Quốc tế Hoa Sen,Hoạt động dịch vụ hỗ trợ khác liên quan tới vận tải.,Tỉnh Bà Rịa - Vũng Tàu,49,49,49,49
Công ty Cổ phần Hoa Sen Sài Gòn (ii),Hoạt động kinh doanh bất động sân.,Thành phố Hồ Chí Minh,40,40,-,-
