Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND
Doanh thu,Doanh thu,Doanh thu,5.198.209.275,4.188.667.782
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty con,Cung cấp dịch vụ,27.503.282,530.944.182
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty con,Cung cấp dịch vụ,182.220.323,-
Công ty TNHH Du lịch DIC,Công ty con,Cung cấp dịch vụ,1.312.194.586,-
Công ty CP Xây dựng DIC Holdings,Công ty liên kết,Cung cấp dịch vụ,15.660.909,-
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty liên kết,Cung cấp dịch vụ,329.268.225,-
Công ty CP Vina Đại Phước,Cùng tập đoàn,Cung cấp dịch vụ,3.331.361.950,3.657.723.600
Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty con,Chi phí xây dựng,77.715.001.410,235.316.549.019
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty con,Chi phí xây dựng Cổ tức,143.290.022.075 630.900.000,175.090.572.639 -
Công ty CP Gạch men Anh Em DIC,Công ty con,Lãi cho vay,3.760.575.267,4.009.611.871
Công ty TNHH Du lịch DIC,Công ty con,Chi phí dịch vụ Bán tài sản,3.887.576.171 330.000.000,-
Công ty CP Xây dựng DIC Holdings,Công ty liên kết,Chi phí xây dựng,24.923.147.810,144.913.035.371
Công ty CP bất động sản D.I.C,Công ty liên kết,Chi phí môi giới Chi phí thi công,205.949.513.016 -,38.726.707.613 5.869.454.820
Công ty CP Đầu tư Phát triển Phương Nam,Cùng tập đoàn,Chi phí tiếp khách Thu lãi cho vay Cho vay,1.609.648.023 6.635.725.752,26.964.235.792 5.873.960.488 5.000.000.000
