Chỉ tiêu,Chỉ tiêu,Mã số,Thuyết minh,Năm 2023,Đơn vị tính: VND Năm 2022
1,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1.,1.393.477.022.200,2.549.015.672.158
2,Các khoản giảm trừ doanh thu,02,VI.2.,4.462.909,17.101.473
3,Doanh thu thuần bán hàng và cung cấp dịch vụ (10=01-02),10,,1.393.472.559.291,2.548.998.570.685
4,Giá vốn hàng bán,11,VI.3.,960.432.094.097,1.636.738.217.215
5,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,433.040.465.194,912.260.353.470
6,Doanh thu hoạt động tài chính,21,VI.4.,34.822.255.885,51.734.978.990
7,Chi phí tài chính,22,VI.5.,48.011.321.902,129.368.665.552
,Trong đó: Chi phí lãi vay,23,,46.213.456.898,122.245.189.912
8,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,-
9,Chi phí bán hàng,25,VI.8.,122.608.818.719,272.693.690.778
10,Chi phí quản lý doanh nghiệp,26,VI.8.,101.910.510.304,97.575.228.385
11,Lợi nhuận thuần từ hoạt động kinh doanh {30=20+(21-22)+24-(25+26)},30,,195.332.070.154,464.357.747.745
12,Thu nhập khác,31,VI.6.,10.870.523.081,25.665.430.365
13,Chi phí khác,32,VI.7.,8.321.548.733,16.370.763.435
14,Lợi nhuận khác (40=31-32),40,,2.548.974.348,9.294.666.930
15,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,197.881.044.502,473.652.414.675
16,Chi phí thuế TNDN hiện hành,51,VI.9.,81.168.353.456,140.235.335.706
17,Chi phí thuế TNDN hoãn lại,52,VI.10.,(4.485.506.350),22.801.768.467
18,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,121.198.197.396,310.615.310.502
19,Lợi nhuận sau thuế của Công ty mẹ,61,,150.763.712.353,278.907.151.756
20,Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,(29.565.514.957),31.708.158.746
21,Lãi cơ bản trên cổ phiếu,70,VI.11.,"494,99","978,25"
