Másố,CHỈ TIÊU,Thuyếtminh,Năm 2017VND,Năm 2016VND
,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH
01,1. Lợi nhuận trước thuế,,(431.086.424.860),(730.811.986.602)
01,2. Điều chính cho các khoản,,815.843.275.816,882.143.493.496
02,- Khấu hao tài sản cố định và bắt động sản đầu tư,,108.837.344.965,73.452.952.849
03,- Các khoản dự phòng,,843.813.342.015,697.052.619.364
04,"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ",,4.682.307,-
05,"- Lãi, lỗ từ hoạt động đầu tư",,(137.582.964.162),(53.600.630.923)
06,- Chỉ phí lãi vay,,770.870.691,165.238.552.206
08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đốivốn lưu động,,384.756.850.956,151.331.506.894
09,"- Tăng, giám các khoản phải thu",,117.865.350.533,50.228.937.313
10,"- Tăng, giám hàng tồn kho",,(1.052.849.322),(38.875.493.477)
11,"- Tăng, giám các khoản phải trả (không kể lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)",,(62.990.080.870),(17.779.070.884)
12,"- Tăng, giám chỉ phí trả trước",,7.629.114.964,(51.424.448.177)
13,"- Tăng, giám chứng khoán kinh doanh",,-,52.621.800.000
14,- Tiền lãi vay đã trả,,(59.842.795.395),(28.926.241.575)
15,- Thuế thu nhập doanh nghiệp đã nộp,,(40.801.552.008),(46.765.316.017)
17,- Tiền chỉ khác cho hoạt động kinh doanh,,(2.256.206.660),(4.214.251.829)
20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,343.307.832.199,66.197.422.248
,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ
21,"1. Tiền chỉ đề mua sắm, xây dựng tài sản cố địnhvà các tài sản dài hạn khác",,(25.912.349.566),(29.401.631.388)
22,"2. Tiền thu từ thanh lý, nhượng bán tài sản cố địnhvà các tài sản dài hạn khác",,397.111.364,1.531.043.909
23,"3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vịkhác",,(59.900.000.000),(74.837.536.927)
24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơnvj khác",,3.000.000.000,68.188.092.483
26,5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,324.980.000,48.705.923.000
27,"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,21.918.430.031,17.601.768.215
30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(60.171.828.171),31.787.659.292
