Tên Công ty,Lĩnh vực kinh doanh,Tình trạng,31/12/2025,31/12/2025,31/12/2025,01/01/2025,01/01/2025,01/01/2025
Tên Công ty,Lĩnh vực kinh doanh,Tình trạng,% sở hữu,Giá gốc (VND),Dự phòng (VND),% sở hữu,Giá gốc (VND),Dự phòng (VND)
c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con
+ Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Cung cấp dịch vụ,Đang hoạt động,"100,00",70.000.000.000,-,"100,00",70.000.000.000,-
+ Công ty TNHH Dịch vụ Quản lý Bắt động sản Sài Gòn Thương Tín,Cung cấp dịch vụ,Đang hoạt động,"94,44",85.000.000.000,-,"94,44",85.000.000.000,-
+ Công ty Cổ phần Đầu tư Phát triển Bắt động sản Đông Sài Gòn,Kinh doanh bất động sản,Đang hoạt động,"99,89",234.112.145.583,(46.591.092.805),"99,89",234.112.145.583,(13.411.818.893)
+ Công ty Cổ phần Thương tín Tàu Cuốc,Kinh doanh bất động sản,Đang hoạt động,"82,07",261.645.224.000,-,"82,07",261.645.224.000,-
+ Công ty Cổ phần Mai Lan,Cung cấp dịch vụ,Đang hoạt động,"65,20",105.534.512.410,-,"65,20",105.534.512.410,-
+ Công ty TNHH Thương tín - CJ Cầu Tre (1),Kinh doanh bất động sản,Đang làm thủ tục giải thể,-,-,-,"74,00",444.000.000.000,-
+ Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản Hùng Anh Năm,Kinh doanh bất động sản,Đang hoạt động,"95,00",680.940.335.000,(15.631.331.956),"95,00",680.940.335.000,(15.685.855.982)
+ Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng (2),Kinh doanh bất động sản,Đang hoạt động,"96,30",820.031.766.650,(4.644.598.736),"94,68",640.031.966.650,(6.211.346.567)
+ Công ty TNHH MTV TTC Land Retail Management (3),Cung cấp dịch vụ,Đã giải thể,-,-,-,"100,00",1.300.000.000,-
+ Công ty Cổ phần Đầu tư Bắt động sản TTC Land Hưng Điền,Kinh doanh bất động sản,Đang hoạt động,"61,00",13.443.000.000,(189.447.733),"61,00",13.443.000.000,(172.355.015)
Cộng,,,,2.270.706.983.643,(67.056.471.230),,2.536.007.183.643,(35.481.376.457)
